City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,pangai,-19.7697,-43.8514,18.6,65,0,3.6,BR,1687913198
302,pangai,37.9734,13.1881,23.04,56,0,1.47,IT,1687913198
303,pangai,-23.1333,150.7333,21.88,58,11,1.32,AU,1687912643
304,pangai,60.1545,-1.1494,13.0,98,100,7.95,GB,1687913195
305,pangai,50.6789,156.125,10.99,90,89,0.94,RU,1687912644
306,pangai,50.6996,-127.4199,20.1,68,20,6.17,CA,1687912611
307,pangai,40.8021,-124.1637,23.15,85,17,3.13,US,1687912848
308,pangai,-29.9533,-71.3436,14.85,77,0,1.03,CL,1687913013
309,pangai,29.5448,67.8764,33.41,49,49,2.23,PK,1687913199
310,pangai,35.2442,129.2139,21.85,89,71,4.17,KR,1687913199
311,pangai,34.5,62.0,22.73,19,0,3.71,AF,1687913199
312,pangai,64.8621,11.2373,13.06,88,100,2.57,NO,1687913199
313,pangai,55.1009,14.7066,15.95,88,75,7.72,DK,1687913199
314,pangai,45.5834,-70.8823,20.31,97,100,2.96,CA,1687912904
315,pangai,46.7681,17.2432,15.94,100,0,1.03,HU,1687913200
316,pangai,54.1944,16.1722,12.04,94,100,7.68,PL,1687913200
317,pangai,41.5388,-8.6151,23.16,67,3,2.13,PT,1687913200
318,pangai,32.4631,-114.7767,40.5,6,0,4.74,MX,1687913200
319,pangai,-25.2406,130.9889,13.47,76,86,4.87,AU,1687913011
320,pangai,58.0106,114.2769,17.25,97,100,0.64,RU,1687913200
321,pangai,64.8989,45.7622,9.37,83,61,2.5,RU,1687913201
322,pangai,6.6221,73.07,27.91,76,100,5.43,MV,1687913201
323,pangai,17.6333,-99.0833,18.8,75,23,3.29,MX,1687913124
324,pangai,42.1584,-72.3287,22.23,74,75,5.14,US,1687912525
325,pangai,50.0163,-125.2446,27.21,41,20,2.57,CA,1687913201
326,pangai,-30.1811,-50.2056,17.66,85,100,3.18,BR,1687912620
327,pangai,-51.6226,-69.2181,3.03,87,100,3.09,AR,1687913048
328,pangai,50.565,72.5692,11.21,92,100,8.8,KZ,1687913202
329,pangai,42.7808,20.4875,16.46,88,18,2.3,XK,1687913202
330,pangai,6.1241,81.1185,25.19,100,20,3.6,LK,1687913202
331,pangai,-6.0911,-35.2086,25.45,94,0,3.54,BR,1687913202
332,pangai,-40.8135,-62.9967,7.71,75,7,2.65,AR,1687913202
333,pangai,32.442,105.823,23.06,96,100,1.34,CN,1687913202
334,pangai,50.5994,97.5228,14.4,35,3,0.24,RU,1687913203
335,pangai,-8.7537,148.2534,28.51,58,19,1.49,PG,1687913203
336,pangai,50.2334,-63.5986,10.2,100,100,7.2,CA,1687913053
337,pangai,-20.2333,164.0167,22.1,63,0,8.42,NC,1687913203
338,pangai,-13.7,-76.2167,19.03,72,20,4.12,PE,1687912352
